Project - Dynamic Query,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ssn,lastname,firstname,hiredate,salary,gender,performance,,To Do,,,,,,
000-01-0000,Milgrom,Patricia,2004-10-01,"$57,500",F,Average,,Create drop down list to filter our table,,,,,,
000-02-2222,Adams,Sandy,2001-01-15,"$19,500",F,Average,,,,,,,,
109-87-6543,Wood,Emily,1997-03-12,"$69,000",F,Average,,,,,,,,
109-87-6544,Foster,Harold,2005-08-14,"$55,000",M,Good,,Gender,M,,,,,
111-12-1111,Johnson,James,1996-05-03,"$47,500",M,Good,,Performance,Poor,,,,,
123-45-6789,Coulter,Tracy,1993-02-14,"$100,000",,Good,,ssn,lastname,firstname,hiredate,salary,gender,performance
222-23-2222,Marlin,Bill,1977-03-28,"$125,000",M,,,Webster,David,1991-01-29,"$58,500",M,Poor,
222-52-5555,Smith,Mary,2006-01-01,"$42,500",F,Average,,Charles,Kenneth,1998-06-18,"$40,000",M,Poor,
245-67-8910,Johanson,Sandy,2005-06-02,"$69,000",F,,,Adamson,David,2002-10-04,"$52,000",M,Poor,
333-34-3333,Manin,Emily,2000-12-01,"$49,500",F,Average,,,,,,,,
333-43-4444,Smith,Frank,1991-01-29,"$65,000",M,Good,,FORMULA,"=QUERY('Project Dynamic Query'!EMPLOYEE10, ""select B, C, D, E, F, G WHERE G='""& J8 &""' and F='""&J7&""'"")",,,,,
333-66-1234,Brown,Marietta,2001-03-07,"$18,500",F,Poor,,,,,,,,
335-55-5533,Jones,Holly,1986-04-08,"$65,000",F,Good,,,,,,,,
432-19-8765,Bronson,Paul,2003-11-20,"$58,000",M,Good,,,,,,,,
444-45-4444,Frank,Vernon,1985-04-10,"$75,000",M,Good,,,,,,,,
464-64-4466,Webster,David,1991-01-29,"$58,500",M,Poor,,,,,,,,
500-50-0505,Rodriguez,Jose,1998-07-16,"$150,000",M,Good,,,,,,,,
555-22-3333,Rubin,Patricia,2003-07-25,"$45,000",F,Average,,,,,,,,
555-56-5555,Charles,Kenneth,1998-06-18,"$40,000",M,Poor,,,,,,,,
612-99-1111,Roberts,Melissa,1984-05-14,"$79,000",F,Good,,,,,,,,
625-62-6262,Holmes,Holly,1992-06-15,"$55,000",F,Average,,,,,,,,
767-74-7373,Martin,William,2006-08-26,"$23,000",M,Good,,,,,,,,
776-67-6666,Adamson,David,2002-10-04,"$52,000",M,Poor,,,,,,,,
777-78-7777,Marder,Kelly,1997-09-25,"$38,500",F,Average,,,,,,,,
925-45-7116,Whitehead,David,1980-07-25,"$175,000",M,Good,,,,,,,,
